district_code,county_code,sub_county_code,sub_county_name
14,76,14,AMUKOL
14,76,15,CHEPTERECH
14,76,16,"SIPI TOWN COUNCIL"
14,283,1,"CENTRAL DIVISION"
14,283,2,"EAST DIVISION"
14,283,3,"WEST DIVISION"
15,77,1,KISINGA
15,77,2,KYARUMBA
15,77,3,KYONDO
15,77,4,MAHANGO
15,77,5,MUNKUNYU
15,77,6,NYAKATONZI
15,77,7,"KISINGA TOWN COUNCIL"
15,77,8,"KINYAMESEKE TOWN COUNCIL"
15,77,9,KITABU
15,77,10,"KYARUMBA TOWN COUNCIL"
15,78,1,BWERA
15,78,2,IHANDIRO
15,78,3,KARAMBI
15,78,4,KITHOLU
15,78,5,NYAKIYUMBU
15,78,6,"MPONDWE/LHUBIRIHA TOWN COUNCIL"
15,78,7,ISANGO
15,79,1,BUGOYE
15,79,2,KITSWAMBA
15,79,3,KYABARUNGIRA
15,79,4,MALIBA
15,79,5,"HIMA TOWN COUNCIL"
15,79,6,BWESUMBU
15,79,7,BUHUHIRA
15,79,8,"RUGENDABARA-KIKONGO TOWN COUNC"
15,79,9,"MUBUKU TOWN COUNCIL"
15,79,10,"IBANDA-KYANYA TOWN COUNCIL"
15,80,1,KARUSANDARA
15,80,2,KAHOKYA
15,80,3,KILEMBE
15,80,4,"LAKE KABATORO TOWN COUNCIL"
15,80,5,"LAKE KATWE"
15,80,6,MUHOKYA
15,80,7,RUKOKI
15,80,8,MBUNGA
15,80,9,NYAKABINGO
15,229,1,"BULEMBIA DIVISION"
15,229,2,"CENTRAL DIVISION"
15,229,3,"NYAMWAMBA DIVISION"
16,83,1,BWAMIRAMIRA
16,83,2,"KIBAALE TOWN COUNCIL"
16,83,3,KYEBANDO
16,83,4,MATALE
16,83,5,MUGARAMA
16,83,6,BUBANGO
16,83,7,NYAMARWA
16,83,8,NYAMARUNDA
16,83,9,KABASEKENDE
16,83,10,KASIMBI
16,83,11,KARAMA
16,83,12,KAYANJA
16,83,13,KYAKAZIHIRE
17,84,1,BUKOMERO
17,84,2,DDWANIRO
17,84,3,KAPEKE
17,84,4,KIBIGA
17,84,5,"KIBOGA TOWN COUNCIL"
17,84,6,LWAMATA
17,84,7,MUWANGA
17,84,8,"BUKOMERO TOWN COUNCIL"
17,84,9,"LWAMATA TOWN COUNCIL"
17,84,10,KAYERA
17,84,11,KYEKUMBYA
17,84,12,KYOMYA
17,84,13,NAKASOZI
17,84,14,NKANDWA
18,86,1,BUKIMBIRI
18,86,2,KANABA
18,86,3,MURORA
18,86,4,NYAKABANDE
18,86,5,NYUNDO
18,87,1,BUSANZA
18,87,2,KIRUNDO
18,87,3,NYABWISHENYA
18,87,4,NYARUBUYE
18,87,5,"RUBUGURI TOWN COUNCIL"
18,88,1,CHAHI
18,88,3,MURAMBA
18,88,4,NYAKINAMA
18,88,5,NYARUSIZA
18,88,6,"CYANIKA TOWN COUNCIL"
18,88,7,"BUNAGANA TOWN COUNCIL"
18,285,1,"CENTRAL DIVISION"
18,285,2,"NORTH DIVISION"
18,285,3,"SOUTH DIVISION"
19,91,1,"KITGUM MATIDI"
19,91,2,"KITGUM MATIDI TOWN COUNCIL"
19,91,3,LABONGO-LAYAMO
19,91,4,LABONGO-AMIDA
19,91,6,LALANO
19,91,7,"LABONGO-AMIDA WEST"
19,91,8,LAGORO
19,91,9,AKWANG
19,250,1,"NAMOKORA TOWN COUNCIL"
19,250,2,KITENY
19,250,3,"MUCHWINI EAST"
19,250,4,"MUCHWINI WEST"
19,250,5,MUCHWINI
19,250,6,NAM-OKORA
19,250,7,OROM
19,250,8,"NAM-OKORA NORTH"
19,250,9,"OMIYA-ANYIMA WEST"
19,250,10,OMIYA-ANYIMA
19,250,11,"OROM EAST"
19,286,1,"CENTRAL DIVISION"
19,286,2,"PANDWONG DIVISION"
19,286,3,"PAGER DIVISION"
20,94,1,KACHERI
20,94,2,KOTIDO
20,94,3,KAMOR
20,94,4,NAKAPELIMORU
20,94,5,PANYANGARA
20,94,6,RENGEN
20,94,7,"KACHERI TOWN COUNCIL"
20,94,8,"LOKITELAEBU TOWN COUNCIL"
20,94,9,KANAIR
20,94,10,KAPETA
20,94,11,LOKWAKIAL
20,94,12,LOLETIO
20,94,14,LONGAROE
20,94,15,MAARU
20,94,16,NAPUMPUM
20,296,1,"CENTRAL DIVISION"
20,296,2,"NORTH DIVISION"
20,296,3,"SOUTH DIVISION"
20,296,4,"WEST DIVISION"
21,97,1,ATUTUR
21,97,2,KANAPA
21,97,3,KUMI
21,97,4,OGOOMA
21,97,5,TISAI
21,97,6,NYERO
21,97,7,ONGINO
21,258,1,KADAMI
21,258,2,KANYUM
21,258,3,KAKURES
21,258,4,KAMACA
21,258,5,MUKONGORO
21,288,1,"NORTH DIVISION"
21,288,2,"SOUTH DIVISION"
22,100,1,AROMO
22,100,2,LIRA
22,100,3,OGUR
22,100,4,AGWENG
22,100,5,"AGWENG TOWN COUNCIL"
22,100,6,AYAMI
22,101,1,ADEKOKWOK
22,101,3,BARR
22,101,4,AGALI
22,101,5,NGETTA
22,101,6,"AMACH TOWN COUNCIL"
22,101,7,ITEK
22,101,8,IWAL
22,101,9,WIODYEK
22,105,1,ADYEL
22,105,2,"LIRA CENTRAL"
22,105,3,OJWINA
22,105,4,RAILWAYS
23,107,1,BUTUNTUMULA
23,107,2,KATIKAMU
23,107,3,LUWERO
23,107,4,"LUWEERO  TOWN COUNCIL"
23,108,1,"BOMBO TOWN COUNCIL"
23,108,2,KATIKAMU
23,108,3,MAKULUBITA
23,108,4,NYIMBWA
23,108,5,"WOBULENZI TOWN COUNCIL"
23,110,1,BAMUNANIKA
23,110,2,KALAGALA
23,110,3,KAMIRA
23,110,4,KIKYUSA
23,110,5,ZIROBWE
24,114,1,BUKAKATA
24,114,2,BUWUNGA
24,114,3,MUKUNGWE
24,116,1,KABONERA
24,116,2,KYANAMUKAKA
24,116,3,KYESIIGA
24,121,1,KATWE/BUTEGO
24,121,2,KIMAANYA/KYABAKUZA
24,121,3,NYENDO/SENYANGE
25,122,1,BUDONGO
25,122,2,BWIJANGA
25,122,3,"KABANGO TOWN COUNCIL"
25,122,4,"BULIIMA TOWN COUNCIL"
25,122,5,BIKONZI
25,122,6,NYANTONZI
25,124,1,"KYATIRI TOWN COUNCIL"
25,124,2,KIMENGO
25,124,3,LABONGO
25,124,4,MIIRYA
25,124,5,KIRULI
25,124,6,PAKANYI
25,124,7,KIJUNJUBWA
25,124,8,"KIJUNJUBWA TOWN COUNCIL"
25,230,1,"KARUJUBU DIVISION"
25,230,2,"NYANGAHYA DIVISION"
25,230,3,"CENTRAL DIVISION"
25,230,4,"KIGULYA DIVISION"
26,131,1,BUFUMBO
26,131,2,BUKONDE
26,131,3,NAKALOKE
26,131,4,NAMANYONYI
26,131,5,WANALE
26,131,6,BUBYANGU
26,131,7,BUDWALE
26,131,8,LWASSO
26,131,9,"NAKALOKE TOWN COUNCIL"
26,131,10,NAMABASA
26,131,11,"JEWA TOWN COUNCIL"
26,132,1,BUKHIENDE
26,132,2,BUNGOKHO
26,132,3,BUSANO
26,132,4,BUSIU
26,132,5,BUSOBA
26,132,6,NAMBALE
26,132,7,BUKASAKYA
26,132,8,BUMASIKYE
26,132,9,LUKHONGE
26,132,10,NYONDO
26,132,11,BUMBOBI
26,132,12,"NABUMALI TOWN COUNCIL"
26,132,13,"BUSIU TOWN COUNCIL"
26,132,14,"NAUYO-BUGEMA TOWN COUNCIL"
26,132,15,BUNAMBUTYE
26,134,1,"INDUSTRIAL BOROUGH"
26,134,2,"NORTHERN BOROUGH"
26,134,3,"WANALE BOROUGH"
27,140,3,KAGONGI
27,140,5,KASHARE
27,140,7,RUBINDI
27,140,12,"RUBINDI-RUHUMBA TOWN COUNCIL"
27,144,1,KAKOBA
27,144,2,KAMUKUZI
27,144,3,NYAMITANGA
27,144,4,KAKIIKA
27,144,5,NYAKAYOJO
27,144,9,BIHARWE
27,259,1,BUBAARE
27,259,2,BUKIIRO
27,259,3,"BWIZIBWERA-RUTOOMA TOWN COUNCI"
27,259,6,RUBAYA
27,259,8,RWANYAMAHEMBE
28,147,1,LOPUTUK
28,147,2,NADUNGET
28,147,3,RUPA
28,147,4,LOTISAN
28,150,1,"NORTH DIVISION"
28,150,2,"SOUTH DIVISION"
28,278,1,KATIKEKILE
28,278,4,TAPAC
29,153,1,DUFILE
29,153,2,LEFORI
29,153,3,METU
29,153,4,MOYO
29,153,5,"MOYO TOWN COUNCIL"
29,153,6,LAROPI
29,153,7,OTCE
29,153,8,ALURU
30,162,1,KAMMENGO
30,162,2,KIRINGENTE
30,162,4,"MPIGI TOWN COUNCIL"
30,162,5,MUDUMA
30,163,1,BUWAMA
30,163,2,KITUNTU
30,163,3,NKOZI
30,163,4,"BUWAMA TOWN COUNCIL"
30,163,5,"KAYABWE TOWN COUNCIL"
31,166,1,KIRUUMA
31,166,2,BUTOLOOGO
31,166,3,KALONGA
31,166,4,KITENGA
31,166,5,KIYUUNI
31,166,6,MADUDU
31,166,7,KAYEBE
31,221,1,BAGEZZA
31,221,2,KIBALINGA
31,221,3,KASAMBYA
31,221,4,LUBIMBIRI
31,221,8,KIGANDO
31,221,9,NABINGOOLA
31,221,10,"KASAMBYA TOWN COUNCIL"
31,221,11,"NABINGOOLA TOWN COUNCIL"
31,290,1,"EAST DIVISION"
31,290,2,"SOUTH DIVISION"
31,290,3,"WEST DIVISION"
32,176,2,KYAMPISI
32,176,4,NAMA
32,177,1,"KOOME ISLANDS"
32,177,2,NAKISUNGA
32,177,4,MPUNGE
32,177,5,MPATTA
32,177,6,"KATOSI TOWN COUNCIL"
32,177,8,"NTENJERU-KISOGA TOWN COUNCIL"
32,178,1,KASAWO
32,178,2,KIMENYEDDE
32,178,4,NAGOJJE
32,178,5,NAMUGANGA
32,178,6,NTUNDA
32,178,7,"KASAWO TOWN COUNCIL"
32,178,8,"NAKIFUMA-NAGGALAMA TOWN COUNCI"
32,178,9,"NAMATABA TOWN COUNCIL"
32,231,1,"GOMA DIVISION"
32,231,3,"MUKONO CENTRAL DIVISION"
33,183,1,AKWORO
33,183,2,ERUSSI
33,183,3,KUCWINY
33,183,4,NEBBI
33,183,6,NYARAVUR
33,183,7,PAROMBO
33,183,8,ATEGO
33,183,9,NDHEW
33,183,10,"PAROMBO TOWN COUNCIL"
33,183,11,JUPANGIRA
33,183,12,ALALA
33,183,13,ACANA
33,183,14,PADWOT
33,292,1,"ABINDU DIVISION"
33,292,2,"CENTRAL DIVISION"
33,292,3,"THATHA DIVISION"
34,184,1,BWONGYERA
34,184,2,IHUNGA
34,184,3,KIBATSI
34,184,4,NYABIHOKO
34,184,5,"RWASHAMEIRE TOWN COUNCIL"
34,184,6,"KAGARAMA TOWN COUNCIL"
34,184,7,"NYAMUNUKA TOWN COUNCIL"
34,184,8,"RWAMABONDO TOWN COUNCIL"
34,184,9,NYABUSHENYI
34,185,1,NTUNGAMO
34,185,2,"KITWE TOWN COUNCIL"
34,185,3,NYAKYERA
34,185,4,RUHAAMA
34,185,5,"RUKONI WEST"
34,185,6,RWEIKINIRO
34,185,7,ITOJO
34,185,8,"RUKONI EAST"
34,185,9,"RUHAAMA EAST"
34,185,10,"KAFUNJO-MIRAMA TOWN COUNCIL"
34,185,11,"RWOHO TOWN COUNCIL"
34,185,12,"NYAMUKANA TOWN COUNCIL"
34,185,13,NYARUTUNTU
34,185,14,"NYAKYERA TOWN COUNCIL"
34,186,1,KAYONZA
34,186,2,NGOMA
34,186,3,RUBAARE
34,186,4,RUGARAMA
34,186,5,"RUBAARE TOWN COUNCIL"
34,186,6,"RWENTOBO-RWAHI TOWN COUNCIL"
34,186,7,"RUGARAMA NORTH"
34,232,1,"EASTERN DIVISION"
34,232,2,"CENTRAL DIVISION"
34,232,3,"WESTERN DIVISION"
35,190,1,"KAMUGE TOWN COUNCIL"
35,190,2,"BOLISO I"
35,190,5,KASODO
35,190,6,PALLISA
35,190,7,"PALLISA TOWN COUNCIL"
35,190,8,PUTI-PUTI
35,190,9,KAMUGE
35,190,12,OLOK
35,234,1,AGULE
35,234,2,APOPONG
35,234,3,GOGONYO
35,234,4,KAMEKE
35,234,5,"AGULE TOWN COUNCIL"
35,234,6,KAUKURA
35,234,7,OBOLISO
35,234,8,OBUTET
35,234,10,AKISIM
35,234,11,CHELEKURA
35,261,1,"KIBALE TOWN COUNCIL"
35,261,4,KIBALE
35,261,7,OPWATETA
36,193,1,BYAKABANDA
36,193,5,KYALULANGIRA
36,193,7,LWANDA
36,193,8,"RAKAI TOWN COUNCIL"
36,193,9,KIZIBA
36,193,10,KIBANDA
36,193,11,KIFAMBA
36,249,1,KASANKALA
36,249,2,DDWANIRO
36,249,3,KACHEERA
36,249,4,KAGAMBA
36,249,6,LWAMAGGWA
37,197,1,BUYANJA
37,197,2,KEBISONI
37,197,3,NYAKISHENYI
37,197,4,NYARUSHANJE
37,197,5,"KEBISONI TOWN COUNCIL"
37,197,6,"BUYANJA TOWN COUNCIL"
37,198,1,BUGANGARI
37,198,2,BUHUNGA
37,198,3,BWAMBARA
37,198,5,NYAKAGYEME
37,198,6,RUHINDA
37,198,7,"RWERERE TOWN COUNCIL"
37,198,8,"BIKURUNGU TOWN COUNCIL"
37,233,1,"EASTERN DIVISION"
37,233,2,"SOUTHERN DIVISION"
37,233,3,"WESTERN DIVISION"
38,205,1,AUKOT
38,205,2,ASURET
38,205,3,GWERI
38,205,4,KAMUDA
38,205,5,AWALIWAL
38,205,6,SOROTI
38,205,7,LALLE
38,205,8,OCOKICAN
38,205,9,"AMEN TOWN COUNCIL"
38,207,1,EASTERN
38,207,2,NORTHERN
38,207,3,WESTERN
38,251,1,ARAPAI
38,251,2,OCULOI
38,251,3,"ARAPAI TOWN COUNCIL"
38,251,4,"TUBUR TOWN COUNCIL"
38,251,5,KATINE
38,251,7,TUBUR
39,209,1,KIREWA
39,209,2,KISOKO
39,209,3,NAGONGERA
39,209,4,PAYA
39,209,5,PETTA
39,209,6,"NAGONGERA TOWN COUNCIL"
39,209,7,SOPSOP
39,209,8,KATAJULA
39,209,9,SONI
39,209,10,NAWIRE
39,209,11,SERE
39,210,1,IYOLWA
39,210,2,MULANDA
39,210,3,NABUYOGA
39,210,4,RUBONGI
39,210,5,MAGOLA
39,210,6,"NABUYOGA TOWN COUNCIL"
39,210,7,"PAJWENDA TOWN COUNCIL"
39,210,8,"IYOLWA TOWN COUNCIL"
39,210,9,OSIA
39,210,10,NYANGOLE
39,210,11,MWELLO
39,210,12,SIWA
39,210,13,OJILAI
39,213,1,KWAPA
39,213,2,KAYORO
39,213,3,MORUKATIPE
39,213,4,OSUKURU
39,213,5,MELLA
39,213,6,KALAIT
39,213,7,"MALABA TOWN COUNCIL"
39,214,1,"TORORO EASTERN"
39,214,2,"TORORO WESTERN"
39,281,1,APETAI
39,281,2,MOLO
39,281,3,MUKUJU
39,281,4,AKADOT
39,281,6,MERIKIT
40,151,1,"ADJUMANI TOWN COUNCIL"
40,151,2,ADROPI
40,151,3,CIFORO
40,151,9,PACHARA
40,151,10,UKUSIJONI
40,239,1,"PAKELE TOWN COUNCIL"
40,239,4,DZAIPI
40,239,5,OFUA
40,239,6,PAKELE
40,239,7,ARINYAPI
40,239,8,ITIRIKWA
41,31,1,BULESA
41,31,2,BUWUNGA
41,31,3,MUTERERE
41,31,4,NANKOMA
41,31,5,BUDHAYA
41,31,6,BULIDHA
41,31,7,"NANKOMA TOWN COUNCIL"
41,31,8,"BUSOWA TOWN COUNCIL"
41,31,9,"BUWUNI TOWN COUNCIL"
41,31,10,"MUTERERE TOWN COUNCIL"
41,32,1,"NABUKALU TOWN COUNCIL"
41,32,2,BULUGUYI
41,32,3,IWEMBA
41,32,4,KAPYANGA
41,32,5,NABUKALU
41,32,6,"NAMAYEMBA TOWN COUNCIL"
41,295,1,"EASTERN DIVISION"
41,295,2,"WESTERN DIVISION"
42,211,1,BULUMBI
42,211,2,"TIIRA TOWN COUNCIL"
42,211,3,BUSITEMA
42,211,4,BUTEBA
42,211,5,DABANI
42,211,6,BUYANGA
42,211,7,SIKUDA
42,211,8,"NAMUNGONDI TOWN COUNCIL"
42,212,1,BUHEHE
42,212,2,LUMINO
42,212,3,LUNYO
42,212,4,MASABA
42,212,5,MASAFU
42,212,6,BUSIME
42,212,7,MASINYA
42,212,8,MAJANJI
42,212,9,"LUMINO-MAJANJI TOWN COUNCIL"
42,212,10,"MASAFU TOWN COUNCIL"
42,226,1,"EASTERN DIVISION"
42,226,2,"WESTERN DIVISION"
43,206,1,AKOBOI
43,206,2,KATAKWI
43,206,3,"KATAKWI TOWN COUNCIL"
43,206,4,GETOM
43,206,5,NGARIAM
43,206,6,GUYAGUYA
43,206,7,USUK
43,206,8,OKORE
43,206,9,ONGONGOJA
43,206,10,PALAM
43,206,11,OKULONYO
43,206,12,"USUK TOWN COUNCIL"
43,224,1,KAPUJAN
43,224,2,AMUSIA
43,224,3,ANGODINGOD
43,224,4,MAGORO
43,224,5,"MAGORO TOWN COUNCIL"
43,224,6,TOROMA
43,224,7,"TOROMA TOWN COUNCIL"
43,224,8,OMODOI
44,106,1,KAKOOGE
44,106,2,KALUNGI
44,106,3,"KAKOOGE TOWN COUNCIL"
44,106,4,"MAYIRIKITI TOWN COUNCIL"
44,106,5,WABINYONYI
44,106,6,"NAKASONGOLA TOWN COUNCIL"
44,106,7,KALONGO
44,218,1,"MIGYERA TOWN COUNCIL"
44,218,3,LWAMPANGA
44,218,4,NABISWERA
44,218,5,"LWAMPANGA TOWN COUNCIL"
44,218,8,RWABYATA
44,218,9,NAKITOMA
45,119,1,LWEMIYAGA
45,119,2,BULONGO
45,119,3,KYEERA
45,119,4,NABITANGA
45,119,5,"NTUUSI TOWN COUNCIL"
45,120,2,LWEBITAKULI
45,120,3,MATEETE
45,120,6,"MATEETE TOWN COUNCIL"
45,120,8,KATWE
45,120,9,MITETE
45,120,10,NAKASENYI
45,273,1,LUGUSULU
45,273,2,KAWANDA
45,273,3,MABINDO
45,273,4,MIJWALA
45,273,5,"SSEMBABULE TOWN COUNCIL"
45,273,6,MITIMA
46,53,1,"KABUGA TOWN COUNCIL"
46,53,2,KAHUNGE
46,53,3,KAMWENGE
46,53,5,"KAMWENGE TOWN COUNCIL"
46,53,6,BUSIRIBA
46,53,7,KABAMBIRO
46,53,8,"BIGODI TOWN COUNCIL"
46,53,10,"KAHUNGE TOWN COUNCIL"
46,262,1,BWIZI
46,262,2,"NKOMA-KATALYEBA TOWN COUNCIL"
46,262,4,NKOMA
46,262,8,BIGULI
46,262,9,BIHANGA
47,171,1,BBAALE
47,171,2,GALIRAYA
47,171,3,KAYONZA
47,171,4,KITIMBWA
47,171,5,"KITIMBWA TOWN COUNCIL"
47,179,1,BUSAANA
47,179,2,KAYUNGA
47,179,3,"KAYUNGA TOWN COUNCIL"
47,179,4,"BUSAANA TOWN COUNCIL"
47,180,1,KANGULUMIRA
47,180,2,NAZIGO
47,180,3,"KANGULUMIRA TOWN COUNCIL"
47,180,4,"NAZIGO TOWN COUNCIL"
48,56,1,BUFUNJO
48,56,2,"MABIRA TOWN COUNCIL"
48,56,3,KITEGA
48,56,4,KIGOYERA
48,56,5,NYANKWANZI
48,56,6,BATALIKA
48,56,8,KYEMBOGO
48,56,9,"KYAMUTUNZI TOWN COUNCIL"
48,56,10,KANYEGARAMIRE
48,56,11,NYABIRONGO
48,57,1,BUTIITI
48,57,2,KIHUURA
48,57,3,NYANTUNGO
48,57,4,"KYENJOJO TOWN COUNCIL"
48,57,5,BUTUNDUZI
48,57,6,KIGARAALE
48,57,7,KISOJO
48,57,8,NYABUHARWA
48,57,9,"BUTUNDUZI TOWN COUNCIL"
48,57,10,"KISOJO TOWN COUNCIL"
48,57,11,"KYAKATWIRE TOWN COUNCIL"
48,274,1,NYAKISI
48,274,2,BUGAAKI
48,274,3,KATOOKE
48,274,4,KYARUSOZI
48,274,5,"RUGOMBE TOWN COUNCIL"
48,274,6,"KATOOKE TOWN COUNCIL"
48,274,7,"KYARUSOZI TOWN COUNCIL"
49,34,1,BUWAAYA
49,34,2,KIGANDALO
49,34,3,BUKABOOLI
49,34,4,MPUNGWE
49,35,1,KITYERERA
49,35,2,MALONGO
49,35,3,JAGUZI
49,35,4,BUSAKIRA
49,35,5,"BUGADDE TOWN COUNCIL"
49,35,6,"BWONDHA TOWN COUNCIL"
49,36,1,BAITAMBOGWE
49,36,2,IMANYIRO
49,36,3,"MAYUGE TOWN COUNCIL"
49,36,4,BUKATUBE
49,36,5,WAIRASA
49,36,6,"MAGAMAGA  TOWN COUNCIL"
50,90,1,TE-NAM
50,90,2,PUKOR
50,90,3,AWERE
50,90,4,PADER
50,90,5,LUNYIRI
50,90,7,PURANGA
50,90,8,"PADER TOWN COUNCIL"
50,90,12,OGOM
50,243,1,ACHOLI-BUR
50,243,2,ATANGA
